,id,release_date,vote_average,vote_count,revenue,runtime
5105,10127,1988/04/29,5.9,278,3813293,86
5106,11005,1990/12/04,7.8,1771,52096475,120
5107,2447,2006/11/30,6.9,153,0,101
5108,835961,2021/10/29,6.1,8,0,89
5109,54445,2011/03/01,5.7,216,0,89
5110,32985,2009/09/16,5.9,1038,19652185,104
5111,13455,2009/02/04,6.1,1774,45465299,111
5112,500682,2019/03/15,6.7,1507,0,133
5113,496032,1974/02/24,5.6,5,0,
5114,273511,2014/06/10,5.3,18,0,97
5115,31170,2006/10/20,5.1,45,0,78
5116,15212,2007/10/02,4.7,156,0,98
5117,134126,2012/10/11,6.8,121,7339398,96
5118,10610,2003/08/15,5.6,825,0,88
5119,571265,2020/02/21,7.7,79,24200000,94
5120,561974,2019/12/25,7.8,88,0,90
5121,401200,2018/11/07,6.7,395,0,118
5122,3683,2006/10/18,6.9,1379,65900249,135
5123,812491,2021/10/28,2,1,0,0
5124,22586,1994/11/18,6.6,756,9771658,89
5125,149509,2013/09/06,6.3,1885,0,120
5126,11825,1988/03/17,5.1,637,19510371,90
5127,367940,2015/11/11,6.4,8,0,10
5128,550385,2018/11/01,5.8,241,0,90
5129,8769,1983/05/11,6.8,1366,21200000,110
5130,610704,2019/06/28,4.7,12,0,93
5131,256917,2014/12/25,6.8,987,15520023,112
5132,34067,2005/07/16,6.9,210,0,103
5133,10974,1986/08/16,7,383,0,88
5134,597219,2020/05/01,7.2,1135,0,104
5135,495193,2018/03/02,7.1,234,0,87
5136,872,1952/04/09,8.2,2253,7200000,103
5137,9331,1994/08/03,6.6,1063,215887717,141
