Unnamed: 0,id,release_date,vote_average,vote_count,revenue,runtime,original_language,original_title,popularity
252,324857,2018/12/06,8.4,10126.0,375540831.0,117.0,en,Spider-Man: Into the Spider-Verse,162.399
253,72331,2012/06/20,5.7,2625.0,116471580.0,94.0,en,Abraham Lincoln: Vampire Hunter,153.492
254,583081,2021/10/22,5.9,36.0,0.0,85.0,en,Warning,145.949
255,741074,2020/10/23,6.9,388.0,0.0,7.0,en,Once Upon a Snowman,164.474
256,39254,2011/09/28,6.9,6312.0,299268508.0,127.0,en,Real Steel,151.173
257,136797,2014/03/12,6.3,3404.0,203277636.0,132.0,en,Need for Speed,112.352
258,138843,2013/03/20,7.5,8829.0,319494638.0,112.0,en,The Conjuring,129.537
259,10196,2010/06/30,4.7,3093.0,319713881.0,103.0,en,The Last Airbender,133.331
260,602734,2021/05/12,6.3,930.0,36544468.0,93.0,en,Spiral: From the Book of Saw,143.703
261,43347,2010/11/22,7.0,3969.0,102820008.0,112.0,en,Love & Other Drugs,130.559
262,214756,2015/06/25,6.3,5903.0,215863606.0,115.0,en,Ted 2,143.756
263,18785,2009/06/02,7.3,13819.0,469310836.0,100.0,en,The Hangover,139.259
264,27578,2010/08/03,6.2,6202.0,274470394.0,103.0,en,The Expendables,131.546
265,68726,2013/07/11,6.8,10092.0,407602906.0,131.0,en,Pacific Rim,135.647
266,27205,2010/07/15,8.3,30184.0,825532764.0,148.0,en,Inception,144.741
267,9479,1993/10/09,7.8,7112.0,75634409.0,76.0,en,The Nightmare Before Christmas,136.45
268,24418,2009/10/23,5.7,838.0,28169671.0,109.0,en,Cirque du Freak: The Vampire's Assistant,145.311
269,875460,2021/10/14,2.0,1.0,0.0,0.0,es,Cato,155.765
270,11249,2004/11/11,5.4,1085.0,24829644.0,87.0,en,Seed of Chucky,124.59
271,590995,2020/10/28,6.4,475.0,0.0,94.0,en,The Craft: Legacy,214.36
272,776909,2021/09/29,6.6,62.0,0.0,110.0,es,Fuimos canciones,130.055
273,10585,1988/11/08,6.6,2030.0,44196684.0,87.0,en,Child's Play,139.534
274,585,2001/11/01,7.8,14785.0,562816256.0,92.0,en,"Monsters, Inc.",155.086
275,57214,2012/03/01,6.8,4826.0,0.0,88.0,en,Project X,132.264
276,769749,2021/05/13,6.4,23.0,0.0,119.0,en,Finding You,141.589
277,412656,2021/02/24,6.8,1346.0,0.0,109.0,en,Chaos Walking,130.785
